idx,Machine_Name,Item No,working time,Thickness 1(mm),Thickness 2(mm),weld force(bar),weld current(kA),weld Voltage(v),weld time(ms),Thickness 1(mm)_scaled,Thickness 2(mm)_scaled,weld force(bar)_scaled,weld current(kA)_scaled,weld Voltage(v)_scaled,weld time(ms)_scaled,is_anomaly
15,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.7,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.2243681300825389,-0.1710002237700249,-1.1457221349398663,0
16,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.7,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.2243681300825389,-0.1710002237700249,0.43649902211044,0
17,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.58,2.705,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3076610148722333,-1.3253820966712888,0.0314402481868176,0.43649902211044,0
18,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.58,2.705,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.3253820966712888,0.0314402481868176,0.43649902211044,0
19,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.36,14.55,2.704,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2939238571860173,-1.6284239964375031,-0.0090478462045652,0.43649902211044,0
20,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.36,14.55,2.704,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2939238571860173,-1.6284239964375031,-0.0090478462045652,0.43649902211044,0
21,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.55,2.7030000000000003,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3076610148722333,-1.6284239964375031,-0.0495359405959121,0.43649902211044,0
22,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.55,2.7030000000000003,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3076610148722333,-1.6284239964375031,-0.0495359405959121,0.43649902211044,0
23,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.701,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.426396063260003,-0.13051212937866,-1.1457221349398663,0
24,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.701,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.426396063260003,-0.13051212937866,-1.1457221349398663,0
25,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.58,2.699,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.3253820966712888,-0.2114883181614078,-1.1457221349398663,0
26,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.58,2.699,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.3253820966712888,-0.2114883181614078,-1.1457221349398663,0
27,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3,14.61,2.7,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3351353302446652,-1.0223401969050745,-0.1710002237700249,-1.1457221349398663,0
28,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3,14.61,2.7,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3351353302446652,-1.0223401969050745,-0.1710002237700249,0.43649902211044,0
29,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.56,2.704,73.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.5274100298487532,-0.0090478462045652,2.0187201791607468,0
30,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.56,2.704,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.5274100298487532,-0.0090478462045652,-1.1457221349398663,0
31,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.590000000000002,2.71,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.2243681300825389,0.2338807201436603,0.43649902211044,0
32,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.590000000000002,2.71,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.2243681300825389,0.2338807201436603,-1.1457221349398663,0
33,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.707,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.2243681300825389,0.1124164369695475,0.43649902211044,0
34,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.707,73.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.2243681300825389,0.1124164369695475,2.0187201791607468,0
35,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.570000000000002,2.704,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3145295937153411,-1.426396063260003,-0.0090478462045652,-1.1457221349398663,0
36,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.704,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.426396063260003,-0.0090478462045652,0.43649902211044,0
37,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.62,2.7,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-0.9213262303163604,-0.1710002237700249,0.43649902211044,0
38,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.31,14.62,2.7,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.328266751401557,-0.9213262303163604,-0.1710002237700249,0.43649902211044,0
39,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3,14.61,2.698,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3351353302446652,-1.0223401969050745,-0.2519764125527727,-1.1457221349398663,0
40,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3,14.61,2.698,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3351353302446652,-1.0223401969050745,-0.2519764125527727,0.43649902211044,0
41,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.61,2.6910000000000003,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3076610148722333,-1.0223401969050745,-0.5353930732923452,0.43649902211044,0
42,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.61,2.6910000000000003,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3076610148722333,-1.0223401969050745,-0.5353930732923452,-1.1457221349398663,0
43,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.61,2.699,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3145295937153411,-1.0223401969050745,-0.2114883181614078,0.43649902211044,0
44,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.61,2.699,70.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3145295937153411,-1.0223401969050745,-0.2114883181614078,-2.727943291990173,0
45,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.6,2.704,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.1233541634938249,-0.0090478462045652,-1.1457221349398663,0
46,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.6,2.704,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.1233541634938249,-0.0090478462045652,0.43649902211044,0
47,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.31,14.6,2.71,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.328266751401557,-1.1233541634938249,0.2338807201436603,0.43649902211044,0
48,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.31,14.6,2.71,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.328266751401557,-1.1233541634938249,0.2338807201436603,0.43649902211044,0
49,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.7110000000000003,73.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.426396063260003,0.2743688145350432,2.0187201791607468,0
50,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.7110000000000003,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.426396063260003,0.2743688145350432,-1.1457221349398663,0
51,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.590000000000002,2.709,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.2243681300825389,0.1933926257522774,-1.1457221349398663,0
52,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.590000000000002,2.709,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.2243681300825389,0.1933926257522774,0.43649902211044,0
53,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.590000000000002,2.7030000000000003,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.2243681300825389,-0.0495359405959121,0.43649902211044,0
54,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.590000000000002,2.7030000000000003,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.2243681300825389,-0.0495359405959121,0.43649902211044,0
55,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.590000000000002,2.697,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3076610148722333,-1.2243681300825389,-0.2924645069441376,0.43649902211044,0
56,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.590000000000002,2.697,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3076610148722333,-1.2243681300825389,-0.2924645069441376,0.43649902211044,0
57,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.6,2.689,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.1233541634938249,-0.6163692620751111,0.43649902211044,0
58,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.6,2.689,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.1233541634938249,-0.6163692620751111,0.43649902211044,0
59,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.590000000000002,2.692,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.2243681300825389,-0.4949049789009982,-1.1457221349398663,0
60,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.590000000000002,2.692,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.2243681300825389,-0.4949049789009982,-1.1457221349398663,0
61,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.63,2.701,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3076610148722333,-0.8203122637276103,-0.13051212937866,-1.1457221349398663,0
62,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.63,2.701,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3076610148722333,-0.8203122637276103,-0.13051212937866,-1.1457221349398663,0
63,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3,14.58,2.708,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3351353302446652,-1.3253820966712888,0.1529045313609304,-1.1457221349398663,0
64,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3,14.58,2.708,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3351353302446652,-1.3253820966712888,0.1529045313609304,0.43649902211044,0
65,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.31,14.6,2.71,73.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.328266751401557,-1.1233541634938249,0.2338807201436603,2.0187201791607468,0
66,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.31,14.6,2.71,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.328266751401557,-1.1233541634938249,0.2338807201436603,-1.1457221349398663,0
67,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.25,14.62,2.7110000000000003,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3694782244602049,-0.9213262303163604,0.2743688145350432,0.43649902211044,0
68,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.25,14.62,2.7110000000000003,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3694782244602049,-0.9213262303163604,0.2743688145350432,-1.1457221349398663,0
69,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.19,14.61,2.705,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.4106896975188527,-1.0223401969050745,0.0314402481868176,0.43649902211044,0
70,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.19,14.61,2.705,73.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.4106896975188527,-1.0223401969050745,0.0314402481868176,2.0187201791607468,0
71,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.17,14.64,2.701,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.4244268552050686,-0.7192982971388961,-0.13051212937866,-1.1457221349398663,0
72,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.17,14.64,2.701,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.4244268552050686,-0.7192982971388961,-0.13051212937866,0.43649902211044,0
73,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.16,14.64,2.698,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.4312954340481764,-0.7192982971388961,-0.2519764125527727,0.43649902211044,0
74,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.16,14.64,2.698,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.4312954340481764,-0.7192982971388961,-0.2519764125527727,0.43649902211044,0
75,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.18,14.65,2.699,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.4175582763619605,-0.6182843305501461,-0.2114883181614078,0.43649902211044,0
76,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.18,14.65,2.699,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.4175582763619605,-0.6182843305501461,-0.2114883181614078,0.43649902211044,0
77,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.26,14.6,2.702,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3626096456170967,-1.1233541634938249,-0.090024034987295,0.43649902211044,0
78,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.26,14.6,2.702,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3626096456170967,-1.1233541634938249,-0.090024034987295,0.43649902211044,0
79,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.701,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.426396063260003,-0.13051212937866,-1.1457221349398663,0
80,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.701,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.426396063260003,-0.13051212937866,-1.1457221349398663,0
81,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.6,2.707,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.1233541634938249,0.1124164369695475,0.43649902211044,0
82,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.6,2.707,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.1233541634938249,0.1124164369695475,-1.1457221349398663,0
83,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.590000000000002,2.7030000000000003,73.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.2243681300825389,-0.0495359405959121,2.0187201791607468,0
84,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.590000000000002,2.7030000000000003,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.2243681300825389,-0.0495359405959121,0.43649902211044,0
85,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.55,2.702,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.6284239964375031,-0.090024034987295,0.43649902211044,0
86,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.55,2.702,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.6284239964375031,-0.090024034987295,0.43649902211044,0
87,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.58,2.698,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.3253820966712888,-0.2519764125527727,0.43649902211044,0
88,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.58,2.698,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.3253820966712888,-0.2519764125527727,0.43649902211044,0
89,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.58,2.697,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.3253820966712888,-0.2924645069441376,0.43649902211044,0
90,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.58,2.697,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.3253820966712888,-0.2924645069441376,0.43649902211044,0
91,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.55,2.701,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.6284239964375031,-0.13051212937866,0.43649902211044,0
92,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.55,2.701,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.6284239964375031,-0.13051212937866,0.43649902211044,0
93,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.39,14.570000000000002,2.7060000000000004,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2733181206566936,-1.426396063260003,0.0719283425782006,-1.1457221349398663,0
94,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.39,14.570000000000002,2.7060000000000004,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2733181206566936,-1.426396063260003,0.0719283425782006,-1.1457221349398663,0
95,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.58,2.709,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.3253820966712888,0.1933926257522774,0.43649902211044,0
96,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.58,2.709,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.3253820966712888,0.1933926257522774,-1.1457221349398663,0
97,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.55,2.7060000000000004,73.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.6284239964375031,0.0719283425782006,2.0187201791607468,0
98,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.55,2.7060000000000004,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3145295937153411,-1.6284239964375031,0.0719283425782006,0.43649902211044,0
99,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.590000000000002,2.704,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.2243681300825389,-0.0090478462045652,0.43649902211044,0
100,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.590000000000002,2.704,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3145295937153411,-1.2243681300825389,-0.0090478462045652,0.43649902211044,0
101,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.58,2.7030000000000003,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.3253820966712888,-0.0495359405959121,0.43649902211044,0
102,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.58,2.7030000000000003,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3145295937153411,-1.3253820966712888,-0.0495359405959121,0.43649902211044,0
103,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.58,2.695,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.3253820966712888,-0.3734406957268855,-1.1457221349398663,0
104,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.58,2.695,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.3253820966712888,-0.3734406957268855,0.43649902211044,0
105,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.6,2.694,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3076610148722333,-1.1233541634938249,-0.4139287901182504,0.43649902211044,0
106,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.6,2.694,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.1233541634938249,-0.4139287901182504,-1.1457221349398663,0
107,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.56,2.698,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.5274100298487532,-0.2519764125527727,0.43649902211044,0
108,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.56,2.698,70.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.5274100298487532,-0.2519764125527727,-2.727943291990173,0
109,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.39,14.570000000000002,2.704,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2733181206566936,-1.426396063260003,-0.0090478462045652,-1.1457221349398663,0
110,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.39,14.570000000000002,2.704,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2733181206566936,-1.426396063260003,-0.0090478462045652,0.43649902211044,0
111,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.570000000000002,2.708,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.426396063260003,0.1529045313609304,0.43649902211044,0
112,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.570000000000002,2.708,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.426396063260003,0.1529045313609304,0.43649902211044,0
113,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.54,2.709,73.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.729437963026217,0.1933926257522774,2.0187201791607468,0
114,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.54,2.709,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.729437963026217,0.1933926257522774,-1.1457221349398663,0
115,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.55,2.702,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.6284239964375031,-0.090024034987295,-1.1457221349398663,0
116,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.55,2.702,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2801866994998014,-1.6284239964375031,-0.090024034987295,0.43649902211044,0
117,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.58,2.7030000000000003,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.3253820966712888,-0.0495359405959121,0.43649902211044,0
118,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.58,2.7030000000000003,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.3253820966712888,-0.0495359405959121,0.43649902211044,0
119,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.58,2.701,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.3253820966712888,-0.13051212937866,0.43649902211044,0
120,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.58,2.701,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.3253820966712888,-0.13051212937866,0.43649902211044,0
