gid,size,idx_list,idx_span,n_fail,label_conflict
154,2,"1519,1520",1,0,False
155,2,"1521,1522",1,1,True
156,2,"1523,1524",1,0,False
157,2,"1525,1526",1,0,False
158,2,"1527,1528",1,0,False
159,2,"1529,1530",1,0,False
160,2,"1531,1532",1,0,False
161,2,"1533,1534",1,1,True
162,2,"1535,1536",1,0,False
163,2,"1537,1538",1,0,False
164,2,"1539,1540",1,0,False
165,2,"1541,1542",1,0,False
166,2,"1543,1544",1,0,False
167,2,"1545,1546",1,0,False
168,2,"1547,1548",1,0,False
169,2,"1549,1550",1,0,False
170,2,"1551,1552",1,0,False
171,2,"1553,1554",1,0,False
172,2,"1555,1556",1,0,False
173,2,"1557,1558",1,1,True
174,2,"1559,1560",1,0,False
175,2,"1561,1562",1,0,False
176,2,"1563,1564",1,0,False
177,2,"1565,1566",1,0,False
178,2,"1567,1568",1,0,False
179,2,"1569,1570",1,0,False
180,2,"1571,1572",1,0,False
181,2,"1573,1574",1,0,False
182,2,"1575,1576",1,0,False
183,2,"1577,1578",1,0,False
184,2,"1579,1580",1,0,False
185,2,"1581,1582",1,0,False
186,2,"1583,1584",1,0,False
187,2,"1585,1586",1,0,False
188,2,"1587,1588",1,0,False
189,2,"1589,1590",1,0,False
190,2,"1591,1592",1,0,False
191,2,"1593,1594",1,0,False
192,2,"1595,1596",1,0,False
193,2,"1597,1598",1,0,False
194,2,"1599,1600",1,0,False
195,2,"1601,1602",1,0,False
196,2,"1603,1604",1,0,False
197,2,"1605,1606",1,0,False
198,2,"1607,1608",1,0,False
199,2,"1609,1610",1,0,False
200,2,"1611,1612",1,0,False
201,2,"1613,1614",1,0,False
202,2,"1615,1616",1,0,False
203,2,"1617,1618",1,1,True
204,2,"1619,1620",1,0,False
205,2,"1621,1622",1,1,True
206,2,"1623,1624",1,0,False
207,2,"1625,1626",1,0,False
208,2,"1627,1628",1,0,False
209,2,"1629,1630",1,0,False
210,2,"1631,1632",1,0,False
211,2,"1633,1634",1,0,False
212,2,"1635,1636",1,0,False
213,2,"1637,1638",1,0,False
214,2,"1639,1640",1,0,False
215,2,"1641,1642",1,0,False
216,2,"1643,1644",1,0,False
217,2,"1645,1646",1,0,False
218,2,"1647,1648",1,0,False
219,2,"1649,1650",1,0,False
220,2,"1651,1652",1,0,False
221,2,"1653,1654",1,0,False
222,2,"1655,1656",1,0,False
223,2,"1657,1658",1,0,False
224,2,"1659,1660",1,0,False
225,2,"1661,1662",1,0,False
226,2,"1663,1664",1,0,False
227,2,"1665,1666",1,0,False
228,2,"1667,1668",1,0,False
229,2,"1669,1670",1,0,False
230,2,"1671,1672",1,0,False
231,2,"1673,1674",1,1,True
232,2,"1675,1676",1,0,False
233,2,"1677,1678",1,0,False
234,2,"1679,1680",1,0,False
235,2,"1681,1682",1,0,False
236,2,"1683,1684",1,0,False
237,2,"1685,1686",1,0,False
238,2,"1687,1688",1,0,False
239,2,"1689,1690",1,0,False
240,2,"1691,1692",1,0,False
241,2,"1693,1694",1,0,False
242,2,"1695,1696",1,0,False
243,2,"1697,1698",1,0,False
244,2,"1699,1700",1,0,False
245,2,"1701,1702",1,0,False
246,2,"1703,1704",1,0,False
247,2,"1705,1706",1,0,False
248,2,"1707,1710",3,0,False
249,2,"1708,1709",1,0,False
250,2,"1711,1712",1,0,False
251,2,"1713,1716",3,0,False
252,2,"1714,1715",1,0,False
253,2,"1717,1718",1,0,False
254,2,"1719,1721",2,0,False
255,2,"1720,1722",2,0,False
256,2,"1723,1724",1,0,False
257,2,"1725,1726",1,0,False
258,2,"1727,1728",1,0,False
259,2,"1729,1730",1,0,False
260,2,"1731,1732",1,0,False
261,2,"1733,1734",1,0,False
262,2,"1735,1736",1,0,False
263,2,"1737,1738",1,0,False
264,2,"1739,1740",1,0,False
265,2,"1741,1742",1,0,False
266,2,"1743,1744",1,0,False
267,2,"1745,1746",1,0,False
268,2,"1747,1748",1,0,False
269,2,"1749,1750",1,0,False
270,2,"1751,1752",1,0,False
271,2,"1753,1754",1,0,False
272,2,"1755,1756",1,0,False
273,2,"1757,1758",1,0,False
274,2,"1759,1760",1,0,False
275,2,"1761,1762",1,1,True
276,2,"1763,1764",1,0,False
277,2,"1765,1766",1,0,False
278,2,"1767,1768",1,0,False
279,2,"1769,1770",1,0,False
280,2,"1771,1772",1,0,False
281,2,"1773,1774",1,0,False
282,2,"1775,1776",1,0,False
283,2,"1777,1778",1,0,False
284,2,"1779,1780",1,0,False
285,2,"1781,1782",1,0,False
286,2,"1783,1784",1,0,False
287,2,"1785,1786",1,0,False
288,2,"1787,1788",1,0,False
289,2,"1789,1792",3,0,False
290,2,"1790,1791",1,0,False
291,2,"1793,1794",1,0,False
292,2,"1795,1796",1,0,False
293,2,"1797,1798",1,0,False
294,2,"1799,1800",1,0,False
295,2,"1801,1802",1,0,False
296,2,"1803,1804",1,0,False
297,2,"1805,1806",1,0,False
298,2,"1807,1808",1,0,False
299,2,"1809,1810",1,0,False
300,2,"1811,1812",1,0,False
301,2,"1813,1814",1,0,False
302,2,"1815,1816",1,0,False
303,2,"1817,1818",1,0,False
304,2,"1819,1820",1,0,False
305,2,"1821,1822",1,0,False
306,2,"1823,1824",1,0,False
307,2,"1825,1826",1,0,False
308,2,"1827,1828",1,0,False
309,2,"1829,1830",1,0,False
310,2,"1831,1832",1,1,True
311,2,"1833,1834",1,0,False
312,2,"1835,1836",1,0,False
313,2,"1837,1838",1,0,False
314,2,"1839,1840",1,0,False
315,2,"1841,1842",1,0,False
316,2,"1843,1844",1,0,False
317,2,"1845,1846",1,0,False
318,2,"1847,1848",1,0,False
319,2,"1849,1850",1,0,False
320,2,"1851,1852",1,0,False
321,2,"1853,1854",1,0,False
322,2,"1855,1856",1,0,False
323,2,"1857,1858",1,0,False
324,2,"1859,1860",1,0,False
325,2,"1861,1862",1,0,False
326,2,"1863,1864",1,0,False
327,2,"1865,1866",1,0,False
328,2,"1867,1868",1,0,False
329,2,"1869,1870",1,0,False
330,2,"1871,1872",1,0,False
331,2,"1873,1874",1,0,False
332,2,"1875,1876",1,0,False
333,2,"1877,1878",1,0,False
334,2,"1879,1880",1,0,False
335,2,"1881,1882",1,0,False
336,2,"1883,1884",1,0,False
337,2,"1885,1886",1,0,False
338,2,"1887,1888",1,0,False
339,2,"1889,1890",1,0,False
340,2,"1891,1892",1,0,False
341,2,"1893,1894",1,0,False
342,2,"1895,1896",1,0,False
343,2,"1897,1898",1,1,True
344,2,"1899,1900",1,0,False
345,2,"1901,1902",1,0,False
346,2,"1903,1904",1,0,False
347,2,"1905,1906",1,0,False
348,2,"1907,1908",1,0,False
349,2,"1909,1910",1,0,False
350,2,"1911,1912",1,0,False
351,2,"1913,1914",1,0,False
352,2,"1915,1916",1,0,False
353,2,"1917,1918",1,0,False
354,2,"1919,1920",1,0,False
355,2,"1921,1922",1,0,False
356,2,"1923,1924",1,0,False
357,2,"1925,1926",1,0,False
358,2,"1927,1928",1,0,False
359,2,"1929,1930",1,0,False
360,2,"1931,1932",1,0,False
361,2,"1933,1934",1,0,False
362,2,"1935,1936",1,0,False
363,2,"1937,1938",1,1,True
364,2,"1939,1940",1,0,False
365,2,"1941,1942",1,0,False
366,2,"1943,1944",1,0,False
367,2,"1945,1948",3,0,False
368,2,"1946,1947",1,0,False
369,2,"1949,1950",1,0,False
370,2,"1951,1952",1,0,False
371,2,"1953,1954",1,0,False
372,2,"1955,1956",1,0,False
373,2,"1957,1958",1,0,False
374,2,"1959,1960",1,0,False
375,2,"1961,1962",1,0,False
376,2,"1963,1964",1,0,False
377,2,"1965,1966",1,0,False
378,2,"1967,1968",1,0,False
379,2,"1969,1970",1,0,False
380,2,"1971,1972",1,0,False
381,2,"1973,1974",1,1,True
382,2,"1975,1978",3,0,False
383,2,"1976,1977",1,0,False
384,2,"1979,1980",1,0,False
385,2,"1981,1982",1,0,False
386,2,"1983,1984",1,0,False
387,2,"1985,1986",1,0,False
388,2,"1987,1988",1,0,False
389,2,"1989,1990",1,0,False
390,2,"1991,1992",1,0,False
391,2,"1993,1994",1,0,False
392,2,"1995,1996",1,0,False
393,2,"1997,1998",1,0,False
394,2,"1999,2002",3,0,False
395,2,"2000,2001",1,0,False
396,2,"2003,2004",1,0,False
397,2,"2005,2006",1,0,False
398,2,"2007,2008",1,0,False
399,2,"2009,2010",1,0,False
400,2,"2011,2012",1,0,False
401,2,"2013,2014",1,0,False
402,2,"2015,2016",1,0,False
403,2,"2017,2018",1,0,False
404,2,"2019,2020",1,0,False
405,2,"2021,2022",1,1,True
406,2,"2023,2024",1,0,False
407,2,"2025,2026",1,0,False
408,2,"2027,2028",1,0,False
409,2,"2029,2030",1,0,False
410,2,"2031,2032",1,0,False
411,2,"2033,2034",1,0,False
412,2,"2035,2036",1,0,False
413,2,"2037,2038",1,0,False
414,2,"2039,2040",1,0,False
415,2,"2041,2043",2,0,False
416,2,"2042,2044",2,0,False
417,2,"2045,2046",1,0,False
418,2,"2047,2048",1,0,False
419,2,"2049,2050",1,0,False
420,2,"2051,2052",1,0,False
421,2,"2053,2054",1,0,False
422,2,"2055,2056",1,0,False
423,2,"2057,2058",1,0,False
424,2,"2059,2060",1,0,False
425,2,"2061,2062",1,0,False
426,2,"2063,2064",1,0,False
427,2,"2065,2066",1,0,False
428,2,"2067,2068",1,0,False
429,2,"2069,2070",1,0,False
430,2,"2071,2072",1,0,False
431,2,"2073,2074",1,0,False
432,2,"2075,2076",1,0,False
433,2,"2077,2078",1,0,False
434,2,"2079,2080",1,0,False
435,2,"2081,2082",1,0,False
436,2,"2083,2084",1,0,False
437,2,"2085,2086",1,0,False
438,2,"2087,2088",1,0,False
439,2,"2089,2090",1,0,False
440,2,"2091,2092",1,0,False
441,2,"2093,2094",1,0,False
442,2,"2095,2096",1,0,False
443,2,"2097,2098",1,0,False
444,2,"2099,2100",1,0,False
445,2,"2101,2102",1,0,False
446,2,"2103,2104",1,0,False
447,2,"2105,2106",1,1,True
448,2,"2107,2108",1,0,False
449,2,"2109,2110",1,0,False
450,2,"2111,2112",1,0,False
451,2,"2113,2114",1,0,False
452,2,"2115,2116",1,0,False
453,2,"2117,2118",1,0,False
454,2,"2119,2120",1,0,False
455,2,"2121,2122",1,0,False
456,2,"2123,2124",1,0,False
457,2,"2125,2126",1,0,False
458,2,"2127,2130",3,0,False
459,2,"2128,2129",1,0,False
460,2,"2131,2132",1,0,False
461,2,"2133,2134",1,0,False
462,2,"2135,2136",1,0,False
463,2,"2137,2138",1,0,False
464,2,"2139,2140",1,0,False
465,2,"2141,2142",1,0,False
466,2,"2143,2144",1,0,False
467,2,"2145,2146",1,0,False
468,2,"2147,2150",3,0,False
469,2,"2148,2149",1,0,False
470,2,"2151,2152",1,0,False
471,2,"2153,2154",1,0,False
472,2,"2155,2156",1,0,False
473,2,"2157,2158",1,0,False
474,2,"2159,2160",1,0,False
475,2,"2161,2162",1,0,False
476,2,"2163,2164",1,1,True
477,2,"2165,2166",1,0,False
478,2,"2167,2168",1,0,False
479,2,"2169,2170",1,0,False
480,2,"2171,2172",1,0,False
481,2,"2173,2174",1,0,False
482,2,"2175,2176",1,0,False
483,2,"2177,2178",1,1,True
484,2,"2179,2180",1,0,False
485,2,"2181,2182",1,0,False
486,2,"2183,2184",1,1,True
487,2,"2185,2186",1,0,False
488,2,"2187,2188",1,0,False
489,2,"2189,2190",1,0,False
490,2,"2191,2192",1,0,False
491,2,"2193,2194",1,0,False
492,2,"2195,2196",1,0,False
493,2,"2197,2198",1,0,False
494,2,"2199,2200",1,0,False
495,2,"2201,2202",1,0,False
496,2,"2203,2204",1,0,False
497,2,"2205,2206",1,0,False
498,2,"2207,2208",1,0,False
499,2,"2209,2210",1,0,False
500,2,"2211,2212",1,0,False
501,2,"2213,2214",1,0,False
502,2,"2215,2216",1,0,False
503,2,"2217,2218",1,0,False
504,2,"2219,2220",1,0,False
505,2,"2221,2222",1,0,False
506,2,"2223,2224",1,0,False
507,2,"2225,2226",1,0,False
508,2,"2227,2228",1,0,False
509,2,"2229,2230",1,0,False
510,2,"2231,2232",1,0,False
511,2,"2233,2234",1,0,False
512,2,"2235,2236",1,0,False
513,2,"2237,2238",1,0,False
514,2,"2239,2240",1,0,False
515,2,"2241,2242",1,0,False
516,2,"2243,2244",1,0,False
517,2,"2245,2248",3,0,False
518,2,"2246,2247",1,0,False
519,2,"2249,2250",1,0,False
520,2,"2251,2252",1,0,False
521,2,"2253,2254",1,0,False
522,2,"2255,2256",1,0,False
523,2,"2257,2258",1,0,False
524,2,"2259,2260",1,0,False
525,2,"2261,2262",1,0,False
526,2,"2263,2264",1,0,False
527,2,"2265,2266",1,0,False
528,2,"2267,2269",2,0,False
529,2,"2268,2270",2,0,False
530,2,"2271,2272",1,0,False
531,2,"2273,2274",1,0,False
532,2,"2275,2276",1,0,False
533,2,"2277,2278",1,0,False
534,2,"2279,2280",1,0,False
535,2,"2281,2282",1,0,False
536,2,"2283,2284",1,0,False
537,2,"2285,2286",1,0,False
538,2,"2287,2288",1,0,False
539,2,"2289,2290",1,0,False
540,2,"2291,2292",1,0,False
541,2,"2293,2294",1,0,False
542,2,"2295,2296",1,0,False
543,2,"2297,2298",1,0,False
544,2,"2299,2300",1,0,False
545,2,"2301,2302",1,0,False
546,2,"2303,2304",1,0,False
547,2,"2305,2306",1,0,False
548,2,"2307,2308",1,0,False
549,2,"2309,2310",1,0,False
550,2,"2311,2312",1,0,False
551,2,"2313,2314",1,0,False
552,2,"2315,2316",1,0,False
553,2,"2317,2318",1,0,False
554,2,"2319,2320",1,0,False
555,2,"2321,2322",1,0,False
556,2,"2323,2324",1,0,False
557,2,"2325,2326",1,0,False
558,2,"2327,2328",1,0,False
559,2,"2329,2330",1,0,False
560,2,"2331,2332",1,1,True
561,2,"2333,2334",1,0,False
562,2,"2335,2336",1,0,False
563,2,"2337,2338",1,0,False
564,2,"2339,2340",1,0,False
565,2,"2341,2342",1,0,False
566,2,"2343,2344",1,1,True
567,2,"2345,2346",1,0,False
568,2,"2347,2348",1,0,False
569,2,"2349,2350",1,0,False
570,2,"2351,2352",1,0,False
571,2,"2353,2354",1,0,False
572,2,"2355,2356",1,0,False
573,2,"2357,2358",1,0,False
574,2,"2359,2360",1,0,False
575,2,"2361,2362",1,0,False
576,2,"2363,2364",1,0,False
577,2,"2365,2366",1,0,False
578,2,"2367,2368",1,0,False
579,2,"2369,2370",1,0,False
580,2,"2371,2372",1,0,False
581,2,"2373,2374",1,0,False
582,2,"2375,2376",1,0,False
583,2,"2377,2378",1,0,False
584,2,"2379,2380",1,0,False
585,2,"2381,2382",1,0,False
586,2,"2383,2384",1,0,False
587,2,"2385,2386",1,0,False
588,2,"2387,2388",1,0,False
589,2,"2389,2390",1,0,False
590,2,"2391,2392",1,0,False
